time_on_site,pages_visited,previous_purchases,made_purchase
7.095884123504285,2,0,0
4.329208554452414,6,2,0
3.522738375947861,4,2,1
4.6638898686232695,2,2,1
7.236031309152282,5,0,0
5.262916801562441,5,4,0
2.180612460933066,5,2,0
5.9299616594821645,3,1,1
3.14204009135475,4,2,0
0.6877979372503669,2,3,1
7.992014425434356,4,2,1
5.914459749655378,6,0,0
4.8434586723931705,4,5,0
4.308780970606603,3,2,0
7.794159001466632,3,5,0
11.174310300396812,4,3,0
5.897561037133033,9,1,1
2.9407306353442477,5,5,1
4.691068962264048,3,4,0
5.861145344188098,7,2,1
0.3009433860162689,7,3,0
5.668998403556236,6,3,0
5.8728502589861575,3,5,0
7.652684395974441,3,1,1
7.444246604746107,7,0,1
5.222344320579072,5,2,1
8.029273813160717,6,3,0
9.071356638077512,4,1,0
5.0559029104889195,5,4,0
5.836374156935498,1,3,0
1.4654052937788475,0,1,1
2.098053475117824,9,0,1
3.3236073719809625,6,0,1
4.112763390965894,6,3,0
2.807753950523863,4,3,0
4.928009176045516,3,5,0
4.172581664650763,6,2,0
7.14179046267923,2,1,0
4.050452709032584,2,3,1
0.4265641035690111,9,2,1
5.251502345070841,5,5,0
4.971603951177322,4,2,0
3.2759002371910126,3,3,0
5.189999766994074,8,0,0
2.84947082354733,2,1,1
5.6596799072466855,5,1,0
10.265848873859703,4,0,0
1.3887890541864674,3,3,0
3.967515825981679,5,1,1
3.6469897571017285,2,3,0
4.133480233024913,2,5,0
7.039849159193949,3,3,0
6.085653118638049,8,2,1
6.697533005212847,2,0,1
5.060991009507196,5,3,0
2.3558013601102847,3,5,1
2.7706292774800407,4,4,1
6.492519414933184,4,0,1
5.3416637968265945,5,1,1
7.520414812157677,1,2,1
5.5865242064935945,2,1,0
2.63397001333575,2,5,1
3.9561963716336903,1,5,0
6.1296282993658595,3,1,1
6.420664992477251,6,0,0
6.710217264309376,2,1,1
2.902951773589614,5,3,1
2.59793966784615,6,1,0
4.620394960505158,5,2,1
7.880147033066909,7,2,0
3.612263358383964,6,4,1
5.909943781201946,1,2,0
5.91012227787793,4,1,0
6.521545499341227,4,2,1
8.32888050789642,2,0,0
8.123812849532213,5,2,1
3.81078833232099,7,3,0
0.8042091173826522,5,0,0
3.6429413292705144,3,4,0
5.151344588094471,3,3,0
4.276709444628686,5,1,0
8.935797885856271,4,1,0
5.037560608632899,4,1,0
6.307423760512387,5,3,0
5.434428619294687,0,3,1
4.306733633018355,2,3,1
1.150376644074667,3,0,0
4.842764722917029,3,5,1
11.509294586308254,7,0,0
2.5110832003243324,5,1,1
1.370253911251551,6,5,1
