email_length,num_links,num_special_chars,is_spam
324.83570765056163,4,10,0
293.0867849414408,5,7,0
332.3844269050346,5,11,0
376.15149282040124,1,13,0
288.2923312638332,0,10,0
288.293152152541,1,9,1
378.9606407753696,2,6,0
338.37173645764545,1,9,0
276.5262807032524,0,11,0
327.1280021792982,2,12,1
276.8291153593769,2,7,0
276.71351232148714,1,13,0
312.0981135783017,0,11,0
204.3359877671101,3,5,1
213.75410837434836,3,14,0
271.88562353795135,1,12,0
249.35844398327882,0,8,1
315.71236662976366,0,7,1
254.59879622393944,4,7,0
229.38481493323542,1,9,1
373.2824384460777,3,13,0
288.71118497567323,4,7,0
303.3764102343962,1,11,0
228.76259068932717,1,11,0
272.78086377374086,0,10,0
305.5461294854933,0,13,1
242.45032112888487,0,14,0
318.7849009172836,3,9,0
269.9680655040597,2,8,0
285.41531251033615,2,11,1
269.91466938853017,1,6,0
392.6139092254469,2,5,0
299.3251387631033,2,8,0
247.114453552205,0,11,0
341.12724560515943,1,7,1
238.9578175014489,3,14,1
310.4431797502378,4,11,0
202.01649380601123,3,9,1
233.59069755507846,0,10,0
309.8430617934562,0,5,1
336.92332899977055,0,7,0
308.56841405949854,1,8,0
294.217585880588,2,12,0
284.9448152205356,2,11,0
226.07390048162864,5,12,0
264.00778958026456,1,11,0
276.9680614520106,3,10,0
352.8561113109458,4,8,1
317.18091447842306,2,5,0
211.84799223186332,3,12,0
316.20419846973977,2,12,1
280.74588597918415,1,13,0
266.1538999847021,4,8,0
330.5838144420434,1,9,0
351.5499761247975,3,15,1
346.56400595580993,1,17,0
258.0391238388681,1,7,0
284.53938120743925,3,14,1
316.5631715701782,0,13,1
348.77725635611796,1,7,0
276.0412881077355,1,16,0
290.71705116680914,0,7,0
244.68325129969858,1,15,1
240.18966879596647,2,12,0
340.6262911197099,0,16,0
367.8120014285412,3,8,1
296.39949392098333,4,7,0
350.1766448946012,4,8,0
318.0818012523817,1,4,0
267.7440122697438,1,10,0
318.0697802754207,0,8,0
376.90182832329845,0,14,0
298.2086980445024,4,7,0
378.23218279070034,2,14,0
169.0127447955128,1,14,1
341.0951252187612,1,16,0
304.35235341190855,3,13,1
285.0496324767066,4,10,0
304.5880388267751,4,13,1
200.62155426995537,3,9,1
289.0164056081244,2,7,0
317.85562857558733,2,8,1
373.8947022370758,0,8,1
274.0864890863176,4,2,0
259.57531985534064,2,9,0
274.91214782077316,5,13,0
345.7701058851037,2,9,1
316.43755548298424,0,17,1
